2011.06.10    223500 241000 269000 208000 572119
2011.06.13    225000 232000 246000 223500 462091
2011.06.14    222000 224000 235000 217000 389135
2011.06.15    243000 225000 246500 224000 440773
2011.06.16    230500 243000 246000 230500 311005
2011.06.17    233000 230500 239000 227000 114772
2011.06.20    228500 230000 231500 224000 104853
2011.06.21    232000 229000 234000 227500 65955
2011.06.22    231000 235000 235000 229000 111013
2011.06.23    229500 229500 233500 227500 88593
2011.06.24    235000 233000 237000 230500 92702
2011.06.27    245000 232500 246500 232500 115540
2011.06.28    245000 248000 249000 241500 75036
2011.06.29    245000 246500 249000 240000 121754
2011.06.30    244500 242000 244500 240000 91419
2011.07.01    240000 243000 244500 239500 114451
2011.07.04    245500 242500 247000 240000 117470
2011.07.05    243000 247000 247000 240500 99375
2011.07.06    245000 244000 245500 240000 81851
2011.07.07    256500 247000 256500 246000 206954
2011.07.08    261000 258000 263500 253000 117585
2011.07.11    263000 259500 266500 258000 115608
2011.07.12    255500 262000 262000 254000 70065
2011.07.13    255500 258000 259500 251000 45842
2011.07.14    250500 254000 255000 246500 69954
2011.07.15    258500 256000 259000 254500 76150
2011.07.18    278500 269500 279000 268000 281900
2011.07.19    274500 277500 278000 270000 98296
2011.07.20    273500 273000 276500 271500 107648
2011.07.21    273000 275000 275000 264000 77944
2011.07.22    275000 275000 278000 271500 80242
2011.07.25    274000 271500 274500 270000 36321
2011.07.26    273000 271000 273000 266000 50999
2011.07.27    277000 274500 278500 268500 46618
2011.07.28    273000 277000 277000 270000 38017
2011.07.29    275000 273000 276000 271000 42213
2011.08.01    273500 273500 274500 271500 29337
2011.08.02    269500 274000 274000 260500 60035
2011.08.03    262500 262500 264000 253500 164654
2011.08.04    268000 267000 269500 263000 77339
2011.08.05    262000 255000 263000 255000 104646
2011.08.08    256000 258000 265500 247500 64710
2011.08.09    246000 250000 256000 232500 65352
2011.08.10    265000 255500 273500 252000 193248
2011.08.11    262000 257000 265500 257000 134306
2011.08.12    279000 265000 279500 265000 167362
2011.08.16    274000 281500 288000 273000 81434
2011.08.17    275000 271000 280000 271000 80579
2011.08.18    292000 273000 292000 273000 129907
2011.08.19    289000 288000 300000 282000 131177
2011.08.22    291000 293500 299500 286000 104808
2011.08.23    302000 295000 302000 291500 105647
2011.08.24    292500 301000 301000 289500 54777
