2017.04.20          17050 16600 17050 16500 197206
2017.04.21          17150 17000 17200 16800 177388
2017.04.24          17300 17150 17450 17150 176646
2017.04.25          17250 17150 17300 17150 51147
2017.04.26          17400 17250 17600 17150 284195
2017.04.27          17600 17400 17700 17250 111352
2017.04.28          17500 17600 17650 17300 66841
2017.05.02          17300 17500 17500 17200 58805
2017.05.04          17350 17300 17500 17250 20549
2017.05.08          17500 17300 17750 17250 84038
2017.05.10          17500 17500 17700 17250 113582
2017.05.11          17750 17400 17800 17400 124803
2017.05.12          17750 17750 17800 17450 76763
2017.05.15          17800 17550 17850 17550 62046
2017.05.16          18250 18050 18400 17800 144683
2017.05.17          18350 18350 18500 18000 146043
2017.05.18          18250 18100 18500 18050 48455
2017.05.19          18650 18250 18700 18250 104060
2017.05.22          18750 18700 18850 18550 127097
2017.05.23          19000 18800 19000 18650 148534
2017.05.24          18900 19000 19000 18600 94423
2017.05.25          19250 18850 19250 18750 159751
2017.05.26          19300 19300 19450 19200 119755
2017.05.29          20150 19500 20150 19500 355176
2017.05.30          19900 20100 20400 19600 249308
2017.05.31          20050 19950 20250 19750 102332
2017.06.01          20150 20200 20200 19850 119089
2017.06.02          20200 20250 20250 19800 147869
2017.06.05          19750 20250 20250 19600 113718
2017.06.07          19900 19650 20000 19600 126558
2017.06.08          19450 19750 19900 19350 101093
2017.06.09          19700 19450 19800 19450 142006
2017.06.12          19500 19650 19800 19300 104525
2017.06.13          19900 19500 19900 19450 88388
2017.06.14          19900 19950 20450 19550 210566
2017.06.15          19300 19800 19800 18950 241638
2017.06.16          19300 19300 19600 19100 73363
2017.06.19          19100 19300 19300 18850 131334
2017.06.20          19400 19200 19600 19100 173624
2017.06.21          19300 19400 19400 18850 67722
2017.06.22          19500 19300 19500 19200 159218
2017.06.23          19600 19550 19600 19450 37560
2017.06.26          19550 19450 19600 19300 67064
2017.06.27          19850 19500 19950 19350 88847
2017.06.28          19950 19900 20050 19700 80960
2017.06.29          20000 20100 20200 19850 42579
2017.06.30          20100 20000 20100 19750 84556
2017.07.03          20150 20100 20250 20100 61465
2017.07.04          19700 20100 20200 19400 82379
2017.07.05          19600 19600 19800 19300 45077
2017.07.06          19700 19550 19750 19350 51597
2017.07.07          19700 19650 19700 19500 57147
2017.07.10          19950 19550 20100 19550 95853
2017.07.11          20000 20000 20100 19900 326564
2017.07.12          19650 19950 20000 19500 81570
2017.07.13          19800 19650 19850 19600 91236
2017.07.14          20300 19800 20300 19700 182341
2017.07.17          20250 20450 20450 20050 95462
2017.07.18          19950 20250 20250 19750 89051
2017.07.19          19950 20050 20100 19800 81178
2017.07.20          20050 19950 20050 19750 99058
2017.07.21          20050 19950 20100 19950 55556
2017.07.24          19900 20000 20100 19800 43700
2017.07.25          20000 20000 20050 19750 89752
2017.07.26          19800 19950 20000 19650 85662
2017.07.27          20000 19800 20000 19750 106807
2017.07.28          19650 20000 20000 19500 85512
2017.07.31          20000 19550 20000 19500 68201
2017.08.01          20200 20000 20200 19750 108053
2017.08.02          20100 20250 20250 19950 117722
2017.08.03          19900 20100 20200 19600 89144
2017.08.04          19950 19900 20000 19600 104431
2017.08.07          20200 20000 20350 19900 112707
2017.08.08          20350 20250 20450 20200 99250
2017.08.09          20250 20100 20350 20000 92096
2017.08.10          20200 20250 20250 19750 111166
2017.08.11          20150 19900 20200 19800 148278
2017.08.14          20150 20300 20350 20000 76291
2017.08.16          20400 20150 20700 20100 135717
2017.08.17          20500 20450 20550 20300 55104
2017.08.18          20500 20450 20550 20250 54746
2017.08.21          20400 20500 20500 20150 33386
2017.08.22          20700 20400 20800 20400 93041
2017.08.23          20750 20700 20750 20400 71916
2017.08.24          20400 20600 20750 20300 76306
2017.08.25          19800 20200 20200 19700 278338
2017.08.28          19850 19700 19900 19700 54210
2017.08.29          19850 19900 19900 19550 59830
2017.08.30          19750 19900 19900 19650 76397
2017.08.31          20100 19750 20250 19750 289581
2017.09.01          20200 20150 20250 19900 116382
2017.09.04         19850 19700 20050 19700 87942
2017.09.05         19950 20000 20050 19700 122396
2017.09.06         20050 20000 20100 19950 41323
2017.09.07         20150 20100 20150 19950 39400
2017.09.08         20150 20150 20200 20000 81069
2017.09.11         20150 20150 20200 19950 58114
2017.09.12         20400 20150 20400 20000 80051
2017.09.13         20400 20200 20400 20050 129900
2017.09.14         20100 20250 20450 19950 167084
2017.09.15         19750 20100 20300 19750 405690
2017.09.18  19750 19950 19950 19600 85794
2017.09.19  19500 19750 19750 19300 203271
2017.09.20  19350 19400 19600 19250 151757
2017.09.21  19150 19350 19350 19150 33712
2017.09.22  18800 19300 19350 18700 127593
2017.09.25  18000 18650 18650 17800 198805
2017.09.26  18300 18000 18350 17900 31306
2017.09.27  18250 18350 18350 18000 20014
2017.09.28  18550 18300 18550 18100 27573
2017.09.29  18900 18550 19050 18300 33360
