
###2017-08-16 00:04:18.059562
code   SU%  SD%  LU% LD%  NAME
073240  52   47   50   49   금호타이어
005380  45   54   48   51   현대차
012450  49   50   50   49   한화테크윈
066570  48   51   49   50   LG전자
007390  45   54   47   52   네이처셀
047810  51   48   48   51   한국항공우주
020150  49   50   49   50   일진머티리얼즈
003520  51   48   48   51   영진약품
005490  51   48   49   50   POSCO
013870  47   52   47   52   지엠비코리아
251270  51   48   48   51   넷마블게임즈

###2017-08-20 18:00:05.177850
code   SU%  SD%  LU% LD%  NAME
035420  47   52   49   50   NAVER
011200  50   49   49   50   현대상선
168330  46   53   46   53   내츄럴엔도텍
015760  43   56   46   53   한국전력
067160  52   47   49   50   아프리카TV
005930  50   49   47   52   삼성전자
028050  47   52   49   50   삼성엔지니어링
000660  45   54   48   51   SK하이닉스
034220  49   50   49   50   LG디스플레이
000270  46   53   48   51   기아차
046890  45   54   48   51   서울반도체
240810  48   51   48   51   원익IPS
068270  49   50   49   50   셀트리온
025320  50   49   48   51   시노펙스
900310  53   46   49   50   컬러레이
006120  45   54   47   52   SK케미칼
003670  43   56   47   52   포스코켐텍
051910  41   58   46   53   LG화학
043200  47   52   48   51   파루
073240  52   47   50   49   금호타이어
005380  45   54   48   51   현대차
012450  49   50   50   49   한화테크윈
066570  48   51   49   50   LG전자
007390  45   54   47   52   네이처셀
047810  51   48   48   51   한국항공우주
020150  49   50   49   50   일진머티리얼즈
003520  51   48   48   51   영진약품
005490  51   48   49   50   POSCO
013870  47   52   47   52   지엠비코리아
251270  51   48   48   51   넷마블게임즈

###2017-08-21 00:00:05.023908
code   SU%  SD%  LU% LD%  NAME
035420  47   52   49   50   NAVER
011200  50   49   49   50   현대상선
168330  46   53   46   53   내츄럴엔도텍
015760  43   56   46   53   한국전력
067160  51   48   49   50   아프리카TV
005930  50   49   47   52   삼성전자
028050  46   53   49   50   삼성엔지니어링
000660  44   55   48   51   SK하이닉스
034220  49   50   49   50   LG디스플레이
000270  46   53   48   51   기아차
046890  44   55   48   51   서울반도체
240810  48   51   48   51   원익IPS
068270  49   50   49   50   셀트리온
025320  49   50   48   51   시노펙스
900310  53   46   49   50   컬러레이
006120  45   54   47   52   SK케미칼
003670  43   56   47   52   포스코켐텍
051910  41   58   46   53   LG화학
043200  47   52   48   51   파루
073240  52   47   49   50   금호타이어
005380  45   54   48   51   현대차
012450  49   50   50   49   한화테크윈
066570  48   51   49   50   LG전자
007390  45   54   47   52   네이처셀
047810  51   48   48   51   한국항공우주
020150  49   50   48   51   일진머티리얼즈
003520  52   47   48   51   영진약품
005490  51   48   49   50   POSCO
013870  47   52   47   52   지엠비코리아
251270  51   48   48   51   넷마블게임즈

###2017-08-21 06:00:04.418810
code   SU%  SD%  LU% LD%  NAME
035420  47   52   49   50   NAVER
011200  50   49   49   50   현대상선
168330  46   53   46   53   내츄럴엔도텍
015760  43   56   46   53   한국전력
067160  51   48   49   50   아프리카TV
005930  50   49   47   52   삼성전자
028050  46   53   49   50   삼성엔지니어링
000660  44   55   48   51   SK하이닉스
034220  49   50   49   50   LG디스플레이
000270  46   53   48   51   기아차
046890  44   55   48   51   서울반도체
240810  48   51   48   51   원익IPS
068270  49   50   49   50   셀트리온
025320  49   50   48   51   시노펙스
900310  53   46   49   50   컬러레이
006120  45   54   47   52   SK케미칼
003670  43   56   47   52   포스코켐텍
051910  41   58   46   53   LG화학
043200  47   52   48   51   파루
073240  52   47   49   50   금호타이어
005380  45   54   48   51   현대차
012450  49   50   50   49   한화테크윈
066570  48   51   49   50   LG전자
007390  45   54   47   52   네이처셀
047810  51   48   48   51   한국항공우주
